Post id,Date,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks,DayOfWeek,DayOfWeek_Num,Engagement_Rate,Like_Rate,Reply_Rate,Repost_Rate
1.95791e+18,2025-08-19,658,18,70,0,0,0,26,1,9,16,0,0,0,Tuesday,1,10.638297872340425,2.735562310030395,3.951367781155015,0.1519756838905775
1.95789e+18,2025-08-19,880,34,82,0,0,0,16,0,4,28,0,0,0,Tuesday,1,9.318181818181818,3.8636363636363633,1.8181818181818181,0.0
1.95787e+18,2025-08-19,1000,33,92,0,0,0,24,3,12,20,0,0,0,Tuesday,1,9.2,3.3000000000000003,2.4,0.3
1.95784e+18,2025-08-19,1862,64,201,3,0,0,82,0,19,36,0,0,0,Tuesday,1,10.79484425349087,3.4371643394199785,4.403866809881848,0.0
1.95776e+18,2025-08-19,4210,341,820,9,0,7,347,7,40,52,0,0,0,Tuesday,1,19.47743467933492,8.099762470308788,8.242280285035628,0.166270783847981
1.95756e+18,2025-08-18,1623,56,88,1,0,0,25,1,2,4,0,0,0,Monday,0,5.422057917436845,3.4504004929143557,1.5403573629081946,0.06161429451632779
1.95754e+18,2025-08-18,4290,118,322,5,0,0,94,5,52,53,0,0,0,Monday,0,7.505827505827506,2.7505827505827507,2.191142191142191,0.11655011655011654
1.95753e+18,2025-08-18,3902,77,192,1,0,0,62,3,22,28,0,0,0,Monday,0,4.920553562275757,1.973347001537673,1.5889287544848796,0.0768836494105587
1.95751e+18,2025-08-18,1425,37,75,0,0,0,20,1,7,10,0,0,0,Monday,0,5.263157894736842,2.5964912280701755,1.4035087719298245,0.07017543859649122
1.95748e+18,2025-08-18,6798,92,304,0,0,2,113,9,40,48,0,0,0,Monday,0,4.471903501029715,1.3533392174168875,1.6622536040011768,0.1323918799646955
1.9574e+18,2025-08-18,4231,304,723,11,1,2,313,9,23,46,0,0,0,Monday,0,17.088158827700305,7.185062632947294,7.397778303001655,0.21271567005436068
1.9572e+18,2025-08-17,1517,44,98,0,0,0,33,0,14,7,0,0,0,Sunday,6,6.460118655240607,2.900461437046803,2.175346077785102,0.0
1.95718e+18,2025-08-17,7276,228,665,1,0,4,186,8,202,37,0,0,0,Sunday,6,9.139637163276525,3.1335898845519514,2.5563496426608023,0.10995052226498077
1.95716e+18,2025-08-17,8047,160,405,1,0,0,127,6,62,50,0,0,0,Sunday,6,5.032931527277246,1.9883186280601466,1.5782279110227413,0.0745619485522555
